               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023937,            0.013962,            0.010664,             0.70668,             0.68171,             0.71992,             0.50637,            0.029491,            0.012895,            0.024841,            0.002872,            0.002872,            0.002872
                  38,            0.024101,            0.013923,           0.0097925,             0.69851,             0.64703,             0.71013,             0.50443,            0.029417,            0.012963,            0.023919,            0.002674,            0.002674,            0.002674
                  39,            0.023717,            0.013815,           0.0093367,              0.7008,             0.67842,             0.72793,              0.5236,            0.029252,            0.012815,             0.02349,            0.002476,            0.002476,            0.002476
                  40,            0.024035,              0.0147,           0.0093291,             0.62333,             0.73965,             0.69748,             0.49781,            0.029188,            0.013015,            0.024151,            0.002278,            0.002278,            0.002278
                  41,            0.022787,            0.013894,           0.0086938,             0.71051,             0.68459,             0.72238,              0.5142,            0.028672,            0.012706,            0.025113,             0.00208,             0.00208,             0.00208
                  42,              0.0234,             0.01408,           0.0086544,              0.7139,             0.71473,             0.72235,             0.51926,            0.028566,            0.012779,            0.021842,            0.001882,            0.001882,            0.001882
                  43,            0.022833,            0.013513,           0.0084524,             0.74013,             0.64246,             0.69884,             0.49674,            0.029381,            0.013467,            0.023307,            0.001684,            0.001684,            0.001684
                  44,            0.022782,            0.014132,           0.0083086,             0.73325,             0.69562,             0.72716,             0.52455,             0.02861,            0.012742,            0.023537,            0.001486,            0.001486,            0.001486
                  45,            0.022244,            0.013474,           0.0077243,             0.71708,             0.69552,             0.73494,              0.5311,             0.02833,            0.012956,             0.02246,            0.001288,            0.001288,            0.001288
                  46,            0.022005,            0.013405,           0.0082887,             0.66918,             0.77552,              0.7335,             0.52553,            0.028603,            0.012869,             0.02557,             0.00109,             0.00109,             0.00109
                  47,            0.021922,            0.013417,           0.0075811,             0.75564,             0.66733,              0.7172,             0.52135,            0.028067,            0.013066,            0.026217,            0.000892,            0.000892,            0.000892
                  48,            0.021845,            0.012864,           0.0073109,             0.65912,             0.74978,              0.7162,             0.51751,            0.028127,            0.013168,            0.024253,            0.000694,            0.000694,            0.000694
                  49,            0.021565,            0.013353,           0.0078692,             0.67512,             0.73344,             0.72619,             0.52613,            0.028241,            0.013202,            0.024066,            0.000496,            0.000496,            0.000496
