               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055839,             0.02291,            0.050008,             0.25278,             0.50198,             0.33571,             0.20071,            0.034076,           0.0097348,            0.046654,            0.070043,           0.0033286,           0.0033286
                   1,             0.03991,            0.016909,            0.038863,             0.49436,             0.60879,             0.59259,              0.4242,            0.030975,           0.0088718,            0.036836,            0.039878,            0.006497,            0.006497
                   2,            0.038774,            0.016175,            0.031758,             0.64724,             0.66373,             0.63818,             0.41283,            0.033187,           0.0097666,            0.031594,           0.0095482,           0.0095005,           0.0095005
                   3,            0.038008,            0.016757,            0.029874,                0.58,             0.60694,             0.55507,             0.36276,             0.03818,            0.012656,            0.032606,           0.0092575,           0.0092575,           0.0092575
                   4,            0.036423,            0.016336,            0.027957,             0.64465,             0.67543,             0.68267,             0.47127,            0.031127,           0.0096399,            0.028159,           0.0092575,           0.0092575,           0.0092575
                   5,            0.034436,            0.015786,            0.026729,             0.61051,             0.71526,             0.68422,             0.48659,            0.030627,           0.0093284,            0.026265,             0.00901,             0.00901,             0.00901
                   6,            0.033061,            0.015364,            0.025396,             0.70557,             0.72228,             0.73602,             0.52527,            0.030633,           0.0090585,            0.021848,           0.0087625,           0.0087625,           0.0087625
                   7,            0.032396,            0.015018,            0.024269,             0.66178,             0.68567,             0.71456,             0.52019,            0.029617,           0.0091115,            0.023545,            0.008515,            0.008515,            0.008515
                   8,            0.031491,            0.014737,            0.023426,             0.74431,             0.73183,             0.76673,             0.56169,            0.028856,            0.009044,            0.020468,           0.0082675,           0.0082675,           0.0082675
                   9,            0.031086,            0.014781,            0.022386,             0.68952,             0.71379,             0.74799,             0.55825,            0.027883,           0.0087059,            0.025436,             0.00802,             0.00802,             0.00802
                  10,            0.030618,            0.014736,            0.021742,             0.71217,             0.75225,             0.76473,             0.56395,            0.028568,           0.0088444,            0.020513,           0.0077725,           0.0077725,           0.0077725
                  11,            0.030189,            0.014311,            0.020756,             0.70068,             0.72738,             0.76844,             0.56377,            0.027839,           0.0089283,            0.021193,            0.007525,            0.007525,            0.007525
                  12,            0.029227,            0.014085,            0.020087,             0.75371,             0.74136,             0.78971,             0.58633,            0.027075,            0.008684,            0.019757,           0.0072775,           0.0072775,           0.0072775
                  13,            0.029307,            0.014144,            0.019391,             0.73319,             0.75785,             0.77769,             0.58558,            0.026897,           0.0086395,            0.020408,             0.00703,             0.00703,             0.00703
                  14,            0.028628,            0.014109,            0.018613,             0.72089,             0.77146,             0.77326,             0.57319,             0.02626,           0.0084851,            0.019783,           0.0067825,           0.0067825,           0.0067825
                  15,            0.028334,            0.014025,            0.018397,             0.70695,             0.77317,             0.78019,             0.58565,             0.02581,           0.0081959,             0.01932,            0.006535,            0.006535,            0.006535
                  16,            0.027839,            0.013715,            0.017778,             0.69412,             0.77936,              0.7792,             0.59546,            0.025673,            0.008466,            0.021733,           0.0062875,           0.0062875,           0.0062875
                  17,            0.027746,            0.013722,            0.016745,             0.74898,             0.74864,             0.79765,             0.59902,            0.026247,           0.0083505,            0.017954,             0.00604,             0.00604,             0.00604
                  18,            0.027362,             0.01372,            0.017004,             0.73009,             0.80844,             0.81623,             0.62081,            0.026222,           0.0081377,            0.017864,           0.0057925,           0.0057925,           0.0057925
                  19,            0.026817,            0.013062,             0.01599,             0.79571,             0.76829,             0.81928,             0.62808,            0.025938,           0.0080659,            0.017094,            0.005545,            0.005545,            0.005545
                  20,            0.026687,            0.013455,            0.015772,             0.76461,             0.79543,             0.82955,             0.63147,            0.024836,           0.0079942,            0.016323,           0.0052975,           0.0052975,           0.0052975
                  21,            0.026028,            0.013025,            0.015129,             0.75608,             0.76967,             0.80109,             0.61131,            0.025092,           0.0081899,            0.023658,             0.00505,             0.00505,             0.00505
                  22,             0.02589,            0.013048,            0.014608,             0.75443,             0.78869,             0.80558,             0.61404,             0.02609,            0.008181,            0.018848,           0.0048025,           0.0048025,           0.0048025
                  23,             0.02573,            0.013107,            0.014243,             0.74751,             0.81677,             0.82123,             0.62752,            0.024657,           0.0078632,            0.018864,            0.004555,            0.004555,            0.004555
                  24,            0.025171,            0.012909,            0.013554,             0.75716,             0.79619,             0.81904,             0.62962,            0.024591,           0.0081656,            0.022598,           0.0043075,           0.0043075,           0.0043075
                  25,            0.024741,            0.012697,            0.013026,             0.77894,             0.77675,             0.82414,             0.63814,            0.023833,            0.007874,            0.023043,             0.00406,             0.00406,             0.00406
                  26,            0.024454,            0.012622,            0.012503,             0.78128,             0.77768,             0.82021,             0.63333,            0.023811,           0.0078464,            0.018344,           0.0038125,           0.0038125,           0.0038125
                  27,            0.024102,             0.01241,            0.012831,             0.78036,             0.77743,             0.82137,             0.63652,            0.024325,           0.0080457,            0.020777,            0.003565,            0.003565,            0.003565
                  28,            0.023916,            0.012345,            0.011931,              0.7687,             0.80078,             0.82558,             0.64247,            0.024255,            0.008026,            0.021453,           0.0033175,           0.0033175,           0.0033175
                  29,            0.023592,            0.012375,            0.011172,             0.78207,             0.79785,             0.83086,             0.63952,            0.023929,           0.0079705,            0.018562,             0.00307,             0.00307,             0.00307
                  30,            0.023786,            0.012272,            0.010642,             0.77425,             0.79371,             0.82398,             0.64146,            0.023978,           0.0078947,            0.018803,           0.0028225,           0.0028225,           0.0028225
                  31,            0.023002,            0.012079,             0.01014,             0.76766,             0.78745,             0.82982,             0.64847,            0.024114,           0.0077113,            0.023166,            0.002575,            0.002575,            0.002575
                  32,            0.022245,            0.011809,            0.010097,             0.74367,             0.82249,              0.8282,              0.6422,            0.023595,           0.0078077,            0.021803,           0.0023275,           0.0023275,           0.0023275
                  33,            0.022241,            0.011861,           0.0098577,              0.7936,             0.76464,             0.82495,             0.64428,            0.023191,           0.0078318,            0.024243,             0.00208,             0.00208,             0.00208
                  34,            0.021541,            0.011676,           0.0092705,             0.74957,             0.81894,             0.83624,             0.65559,            0.023048,           0.0077494,            0.021724,           0.0018325,           0.0018325,           0.0018325
                  35,            0.021775,            0.011633,           0.0089472,             0.78612,             0.80107,             0.83008,             0.65126,            0.023147,           0.0077941,            0.020796,            0.001585,            0.001585,            0.001585
                  36,            0.021247,            0.011308,           0.0087346,             0.78432,             0.77969,              0.8295,             0.64902,              0.0232,           0.0078085,            0.020028,           0.0013375,           0.0013375,           0.0013375
                  37,            0.020894,            0.011392,           0.0084014,              0.7915,             0.79887,             0.83547,             0.65798,            0.023016,           0.0077902,            0.019011,             0.00109,             0.00109,             0.00109
                  38,            0.020593,            0.011316,           0.0080903,             0.78387,             0.80728,             0.82425,             0.64946,            0.022801,           0.0078053,             0.02186,           0.0008425,           0.0008425,           0.0008425
                  39,            0.020488,            0.011221,             0.00771,             0.78647,             0.79743,             0.83106,             0.65556,            0.022526,            0.007715,            0.020971,            0.000595,            0.000595,            0.000595
