               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074114,            0.031368,            0.053576,             0.23678,             0.29454,             0.10433,            0.051185,            0.052952,            0.016649,            0.049445,            0.070216,           0.0033094,           0.0033094
                   1,            0.051152,            0.023303,             0.04859,             0.14182,             0.47712,             0.17191,            0.091725,            0.042087,            0.013936,            0.048484,             0.04015,           0.0065769,           0.0065769
                   2,            0.046903,            0.019878,             0.04755,             0.26145,              0.2908,              0.1858,             0.10323,            0.043558,            0.013716,            0.046121,            0.010018,           0.0097785,           0.0097785
                   3,            0.042679,            0.019102,            0.044809,             0.43381,             0.46853,             0.30212,             0.17134,              0.0365,            0.013485,            0.042837,            0.009703,            0.009703,            0.009703
                   4,            0.039195,            0.018141,            0.040114,             0.45311,             0.54736,             0.37075,             0.21089,              0.0373,            0.014017,            0.035818,            0.009703,            0.009703,            0.009703
                   5,            0.037777,            0.018632,            0.036277,             0.48566,              0.5419,               0.394,             0.24089,            0.035447,            0.012966,            0.034621,            0.009604,            0.009604,            0.009604
                   6,            0.036329,            0.017946,            0.033328,             0.51325,              0.5627,             0.44799,             0.27701,            0.034196,            0.014081,            0.033614,            0.009505,            0.009505,            0.009505
                   7,            0.035796,            0.017823,            0.032392,             0.42399,             0.68028,             0.48775,             0.31781,            0.034444,              0.0137,            0.030307,            0.009406,            0.009406,            0.009406
                   8,            0.035778,            0.018222,            0.030599,             0.48292,             0.57693,             0.49554,             0.30691,             0.03504,            0.013104,            0.035605,            0.009307,            0.009307,            0.009307
                   9,            0.034652,            0.018125,            0.028212,             0.50878,             0.63896,             0.55018,             0.35431,            0.033638,            0.012836,            0.032365,            0.009208,            0.009208,            0.009208
                  10,            0.033969,            0.017891,            0.026447,             0.58208,             0.65989,             0.63495,             0.40553,            0.033998,            0.013166,            0.028272,            0.009109,            0.009109,            0.009109
                  11,            0.032982,            0.017117,            0.026435,              0.5808,             0.69928,             0.64183,             0.42733,            0.032586,            0.012897,            0.029342,             0.00901,             0.00901,             0.00901
                  12,            0.033391,            0.017888,            0.024656,             0.59203,             0.60561,             0.60882,             0.41215,             0.03218,            0.012628,            0.033054,            0.008911,            0.008911,            0.008911
                  13,            0.032484,            0.017112,              0.0233,             0.59469,             0.62788,             0.64539,              0.4379,            0.035473,            0.012585,            0.025325,            0.008812,            0.008812,            0.008812
                  14,            0.032614,            0.016921,            0.023027,             0.62704,             0.67536,             0.66442,             0.44606,            0.035541,            0.012723,            0.023486,            0.008713,            0.008713,            0.008713
                  15,            0.031591,            0.016468,            0.023186,             0.53467,             0.66024,             0.61118,             0.39955,            0.032776,            0.013975,            0.029438,            0.008614,            0.008614,            0.008614
                  16,            0.031392,            0.016906,            0.022078,             0.61571,             0.54057,             0.57565,             0.36389,            0.032796,            0.014338,            0.031843,            0.008515,            0.008515,            0.008515
                  17,            0.031307,            0.017147,            0.021134,             0.58684,             0.67493,             0.64559,              0.4365,            0.031522,            0.013461,            0.026817,            0.008416,            0.008416,            0.008416
                  18,            0.031427,            0.016858,            0.020196,             0.62908,             0.68975,             0.67492,             0.44258,            0.032199,            0.013118,            0.025774,            0.008317,            0.008317,            0.008317
                  19,            0.031562,            0.017981,            0.019813,              0.5685,             0.68656,             0.64339,             0.43469,            0.032174,            0.013444,            0.028063,            0.008218,            0.008218,            0.008218
                  20,            0.030611,            0.016981,            0.019211,             0.63464,             0.70545,             0.68733,             0.45938,            0.033426,            0.012672,            0.025747,            0.008119,            0.008119,            0.008119
                  21,            0.030594,            0.016512,            0.019742,             0.72201,             0.57931,             0.65682,             0.44756,             0.03186,            0.013179,            0.026983,             0.00802,             0.00802,             0.00802
                  22,            0.030279,            0.017094,            0.018174,             0.65547,             0.64668,             0.68299,             0.46771,            0.031787,            0.013265,            0.023311,            0.007921,            0.007921,            0.007921
                  23,            0.029565,            0.016636,             0.01809,             0.63129,             0.66854,             0.68505,             0.47693,            0.031594,            0.012764,            0.024537,            0.007822,            0.007822,            0.007822
                  24,            0.029198,            0.016105,            0.016594,             0.64243,             0.62632,             0.65079,              0.4418,            0.033741,            0.014182,            0.026796,            0.007723,            0.007723,            0.007723
                  25,            0.029871,            0.016315,            0.017239,             0.64522,             0.69533,             0.69784,              0.4853,            0.033242,            0.013103,            0.024182,            0.007624,            0.007624,            0.007624
                  26,            0.029612,            0.016709,            0.016604,             0.65106,             0.68234,             0.69181,             0.48436,             0.03124,            0.013066,            0.024578,            0.007525,            0.007525,            0.007525
                  27,            0.028854,            0.016072,            0.015806,             0.71365,             0.67566,             0.69989,             0.47802,            0.031964,            0.013064,            0.022964,            0.007426,            0.007426,            0.007426
                  28,            0.028556,            0.015668,            0.015363,             0.65245,             0.68158,             0.68906,             0.48035,            0.030781,            0.012753,            0.026867,            0.007327,            0.007327,            0.007327
                  29,            0.029026,            0.016014,            0.015516,             0.62915,             0.70593,             0.70054,             0.47922,            0.032546,             0.01332,             0.02557,            0.007228,            0.007228,            0.007228
                  30,            0.028254,            0.015998,            0.015737,             0.64486,             0.68819,             0.66714,               0.456,            0.031477,            0.012863,            0.028647,            0.007129,            0.007129,            0.007129
                  31,              0.0285,            0.015873,            0.015189,             0.61824,             0.70021,             0.68645,             0.48779,            0.032391,            0.012794,            0.024189,             0.00703,             0.00703,             0.00703
                  32,            0.028901,            0.016818,            0.014558,             0.67374,             0.66014,             0.70626,             0.48482,            0.031513,            0.012951,             0.02427,            0.006931,            0.006931,            0.006931
                  33,            0.027825,            0.015372,            0.014843,             0.69833,             0.66109,             0.70209,               0.496,            0.032681,            0.012519,            0.024732,            0.006832,            0.006832,            0.006832
                  34,            0.027823,            0.015902,            0.014219,             0.62707,             0.71389,             0.69292,             0.47767,            0.032061,            0.013464,            0.026604,            0.006733,            0.006733,            0.006733
                  35,            0.026771,            0.016055,            0.013353,             0.65691,             0.73783,             0.71134,             0.49846,            0.029982,            0.012381,            0.026594,            0.006634,            0.006634,            0.006634
                  36,            0.026962,            0.015455,             0.01371,             0.67862,             0.61731,             0.66714,             0.46735,            0.030296,            0.013064,            0.029126,            0.006535,            0.006535,            0.006535
                  37,             0.02677,            0.015151,            0.012869,             0.61266,             0.72084,             0.70868,             0.49448,            0.031811,            0.012765,            0.026531,            0.006436,            0.006436,            0.006436
                  38,            0.026859,            0.014934,            0.012233,             0.66168,             0.70543,             0.74068,             0.51862,            0.030906,            0.012955,            0.024479,            0.006337,            0.006337,            0.006337
                  39,            0.026881,            0.014974,            0.011627,             0.69764,             0.69536,             0.72057,             0.52181,            0.031723,            0.013106,            0.027326,            0.006238,            0.006238,            0.006238
                  40,            0.027062,            0.015864,            0.012506,             0.61219,             0.70784,             0.67453,              0.4708,            0.029445,            0.012686,            0.028327,            0.006139,            0.006139,            0.006139
                  41,            0.025858,            0.015181,            0.011338,             0.69021,             0.68465,             0.69923,             0.48714,            0.031227,            0.013578,            0.026386,             0.00604,             0.00604,             0.00604
                  42,            0.026622,            0.015421,            0.011605,             0.65009,             0.67801,             0.67619,             0.47596,            0.032812,            0.013313,            0.026068,            0.005941,            0.005941,            0.005941
                  43,             0.02644,            0.014894,             0.01143,             0.71311,             0.67688,             0.70022,             0.49154,            0.031135,            0.013006,            0.027264,            0.005842,            0.005842,            0.005842
                  44,             0.02635,            0.015454,            0.010754,             0.67631,             0.68409,             0.71224,             0.50076,            0.031931,            0.012605,            0.025902,            0.005743,            0.005743,            0.005743
                  45,            0.025593,            0.014629,            0.010221,             0.72066,             0.64802,             0.68901,             0.49272,            0.030807,            0.013044,            0.025538,            0.005644,            0.005644,            0.005644
                  46,            0.025563,            0.014644,            0.012213,             0.67596,             0.67191,             0.69681,             0.49472,            0.030894,            0.013413,            0.026276,            0.005545,            0.005545,            0.005545
                  47,            0.025806,            0.014636,             0.01068,             0.67746,             0.67449,             0.67472,              0.4824,            0.030879,            0.012963,            0.031255,            0.005446,            0.005446,            0.005446
                  48,            0.025636,             0.01409,            0.010456,             0.66186,             0.70536,             0.71688,             0.50817,             0.03112,            0.013039,            0.029309,            0.005347,            0.005347,            0.005347
                  49,            0.025555,            0.014769,            0.010669,             0.65527,             0.69426,              0.6871,             0.48334,            0.032113,             0.01293,            0.026878,            0.005248,            0.005248,            0.005248
                  50,            0.025378,            0.014632,            0.010001,             0.68812,             0.71369,              0.7081,             0.50309,            0.031326,            0.012956,            0.025988,            0.005149,            0.005149,            0.005149
                  51,            0.024466,            0.014336,           0.0098765,             0.68936,             0.69667,             0.68686,             0.47773,             0.03156,             0.01425,            0.027488,             0.00505,             0.00505,             0.00505
                  52,            0.024285,            0.013986,             0.01012,             0.70808,             0.65524,             0.67867,             0.47788,            0.031109,            0.013536,            0.028566,            0.004951,            0.004951,            0.004951
                  53,            0.024704,            0.014541,           0.0099144,             0.71141,              0.7146,             0.68128,             0.47721,            0.030234,            0.013233,            0.025567,            0.004852,            0.004852,            0.004852
                  54,            0.023884,            0.014028,           0.0090225,             0.72329,             0.66142,             0.69901,             0.49676,            0.029522,            0.012996,            0.026753,            0.004753,            0.004753,            0.004753
                  55,            0.024062,            0.013711,           0.0098967,             0.72718,             0.67206,             0.67357,             0.46778,             0.03163,            0.013027,            0.026855,            0.004654,            0.004654,            0.004654
                  56,            0.023739,            0.014153,             0.00954,             0.63006,             0.72593,             0.70303,             0.50406,            0.029937,            0.013322,            0.029994,            0.004555,            0.004555,            0.004555
                  57,            0.023967,            0.013931,           0.0092407,             0.68055,             0.65494,             0.69301,             0.48915,            0.030727,            0.013334,            0.030429,            0.004456,            0.004456,            0.004456
                  58,            0.024115,            0.013828,           0.0084308,              0.7111,             0.70058,             0.70622,             0.50309,            0.031091,            0.013173,            0.028209,            0.004357,            0.004357,            0.004357
                  59,            0.023967,            0.013583,           0.0088164,             0.65196,             0.70571,             0.68509,             0.49169,             0.03075,            0.013882,            0.030245,            0.004258,            0.004258,            0.004258
                  60,            0.023332,            0.013724,           0.0077665,             0.69106,             0.66911,             0.70802,             0.50135,            0.030376,            0.013251,            0.034118,            0.004159,            0.004159,            0.004159
                  61,            0.023377,            0.013383,           0.0082278,             0.68037,              0.7108,             0.71032,             0.50286,            0.029377,            0.013705,              0.0288,             0.00406,             0.00406,             0.00406
                  62,            0.023232,            0.013873,            0.007898,             0.64132,             0.71929,              0.6955,             0.49537,            0.030574,            0.013666,               0.031,            0.003961,            0.003961,            0.003961
                  63,            0.022631,            0.013806,           0.0082341,              0.6394,             0.71954,             0.68358,             0.48409,             0.03112,             0.01359,             0.02832,            0.003862,            0.003862,            0.003862
                  64,            0.022736,            0.013629,           0.0085266,             0.72085,             0.64703,              0.7017,             0.50288,            0.031718,            0.013768,            0.029428,            0.003763,            0.003763,            0.003763
                  65,            0.022891,            0.013479,             0.00812,             0.68364,             0.67792,              0.6861,             0.49084,            0.031036,            0.013354,            0.030906,            0.003664,            0.003664,            0.003664
                  66,            0.022925,            0.013151,           0.0076037,             0.69473,              0.7142,             0.70073,             0.49756,             0.03143,            0.014036,             0.03325,            0.003565,            0.003565,            0.003565
                  67,             0.02275,            0.013659,           0.0073396,             0.71263,             0.68458,             0.71275,             0.50385,            0.029972,            0.013773,            0.031372,            0.003466,            0.003466,            0.003466
                  68,            0.022516,            0.013321,           0.0075146,             0.68647,             0.70753,             0.69576,             0.49602,            0.030561,            0.013529,            0.028475,            0.003367,            0.003367,            0.003367
                  69,            0.021936,            0.013145,           0.0079742,             0.68389,             0.70276,             0.71714,             0.51538,              0.0318,            0.013172,            0.031733,            0.003268,            0.003268,            0.003268
                  70,            0.021827,            0.012886,           0.0071896,             0.68735,             0.70027,             0.70986,             0.51429,            0.029616,            0.013819,            0.033249,            0.003169,            0.003169,            0.003169
                  71,             0.02168,            0.012862,           0.0068117,             0.74686,             0.66295,             0.71235,             0.51091,            0.029798,            0.013492,            0.031701,             0.00307,             0.00307,             0.00307
                  72,            0.021692,            0.013231,           0.0070458,              0.7426,             0.69825,              0.7052,             0.50786,            0.030201,            0.013219,            0.031378,            0.002971,            0.002971,            0.002971
                  73,            0.021731,            0.013309,           0.0066436,             0.71871,             0.70721,             0.68426,             0.48182,            0.031496,            0.013811,            0.031303,            0.002872,            0.002872,            0.002872
                  74,            0.020972,            0.012685,           0.0063778,             0.69609,             0.71024,             0.69826,              0.5019,            0.030119,            0.013157,            0.030663,            0.002773,            0.002773,            0.002773
                  75,            0.021027,            0.012736,           0.0066907,             0.70146,             0.69618,             0.70656,             0.50629,            0.030687,            0.013631,            0.027991,            0.002674,            0.002674,            0.002674
                  76,            0.021081,            0.012954,            0.006705,             0.72299,             0.69093,             0.70603,             0.50888,             0.03118,            0.013142,             0.02733,            0.002575,            0.002575,            0.002575
                  77,            0.020592,            0.012618,           0.0060116,             0.68549,             0.68745,             0.69788,             0.50459,            0.029972,            0.013844,            0.030597,            0.002476,            0.002476,            0.002476
                  78,            0.020795,            0.012697,           0.0068872,             0.68211,             0.69165,             0.69949,             0.50817,            0.030657,            0.013132,            0.035972,            0.002377,            0.002377,            0.002377
                  79,            0.020529,            0.012763,           0.0062447,             0.69544,             0.68385,             0.70623,             0.50469,            0.030479,            0.013635,            0.031396,            0.002278,            0.002278,            0.002278
                  80,            0.020719,            0.012153,           0.0059434,             0.71832,             0.68277,             0.71169,             0.51288,            0.030409,             0.01352,            0.032499,            0.002179,            0.002179,            0.002179
                  81,            0.020399,            0.012379,           0.0057062,             0.69235,             0.69768,             0.70207,             0.50692,            0.029643,            0.013538,            0.031045,             0.00208,             0.00208,             0.00208
                  82,            0.020059,            0.012174,           0.0063095,             0.72726,             0.67967,             0.68688,             0.49543,            0.029724,            0.014058,            0.032384,            0.001981,            0.001981,            0.001981
                  83,            0.020298,            0.012404,           0.0061398,             0.69524,             0.71495,             0.70051,             0.50779,            0.030481,            0.013541,            0.032062,            0.001882,            0.001882,            0.001882
                  84,             0.02068,            0.012439,             0.00634,             0.74694,             0.65715,             0.71532,             0.51291,            0.030202,             0.01396,            0.029892,            0.001783,            0.001783,            0.001783
                  85,            0.020011,            0.012142,           0.0059362,             0.72762,             0.66174,             0.69433,             0.50204,            0.029779,            0.013833,             0.03196,            0.001684,            0.001684,            0.001684
                  86,            0.020004,            0.012797,           0.0056913,             0.70509,             0.67656,             0.69289,             0.50108,            0.030114,            0.013981,            0.030351,            0.001585,            0.001585,            0.001585
                  87,            0.019671,            0.012198,           0.0050645,             0.70472,             0.69285,             0.69358,             0.50265,            0.030343,            0.013711,            0.033235,            0.001486,            0.001486,            0.001486
                  88,            0.019373,            0.011986,           0.0051037,             0.72059,             0.68568,             0.69633,             0.50478,            0.029774,            0.013679,            0.034446,            0.001387,            0.001387,            0.001387
                  89,            0.019296,            0.011564,           0.0049657,             0.69819,             0.70247,             0.70498,              0.5126,            0.029678,            0.013919,            0.033694,            0.001288,            0.001288,            0.001288
                  90,            0.019336,            0.011986,           0.0050157,             0.70101,             0.67013,             0.68644,             0.49572,            0.029502,            0.013597,             0.03509,            0.001189,            0.001189,            0.001189
                  91,            0.019169,            0.011744,            0.004727,             0.71553,             0.67857,             0.70252,             0.50534,            0.029923,             0.01379,            0.033374,             0.00109,             0.00109,             0.00109
                  92,            0.019198,            0.011872,           0.0050457,              0.7155,             0.69534,             0.70535,             0.51054,            0.029853,            0.013765,            0.032544,            0.000991,            0.000991,            0.000991
                  93,            0.018662,            0.011662,           0.0052176,             0.71043,             0.71835,             0.71521,             0.51662,            0.029454,            0.013562,            0.032326,            0.000892,            0.000892,            0.000892
                  94,            0.018944,            0.011553,           0.0045885,             0.72784,              0.6956,              0.7087,              0.5116,            0.029791,            0.013532,            0.032797,            0.000793,            0.000793,            0.000793
                  95,            0.018715,            0.011489,           0.0047194,             0.70786,             0.69603,             0.70237,             0.50796,            0.029804,            0.013592,            0.032831,            0.000694,            0.000694,            0.000694
                  96,            0.018899,            0.011509,           0.0052423,             0.71025,              0.6891,             0.70006,             0.50582,            0.029695,            0.013608,            0.033337,            0.000595,            0.000595,            0.000595
                  97,             0.01812,            0.011397,           0.0048213,             0.70236,             0.70997,             0.70877,             0.51539,            0.029553,            0.013605,            0.034093,            0.000496,            0.000496,            0.000496
                  98,            0.017926,            0.011089,           0.0042509,             0.71219,             0.70905,             0.70927,             0.51297,            0.029693,            0.013724,            0.032886,            0.000397,            0.000397,            0.000397
                  99,            0.018442,            0.011999,             0.00457,             0.72811,             0.70701,             0.70889,             0.51585,            0.029695,            0.013825,            0.033172,            0.000298,            0.000298,            0.000298
